City,Lat_Deg,Lat_Min,Lon_Deg,Lon_Min,Time,Latitude (Decimal),Longitude (Decimal),Time Zone Offset
"Mobile, Ala.",30,42,88,3,11:00 a.m.,30.7,-88.05,-1
"Montgomery, Ala.",32,21,86,18,11:00 a.m.,32.35,-86.3,-1
"Montpelier, Vt.",44,15,72,32,12:00 noon,44.25,-72.53333333333333,-5
"Montreal, Que., Can.",45,30,73,35,12:00 noon,45.5,-73.58333333333333,-5
"Moose Jaw, Sask., Can.",50,37,105,31,11:00 a.m.,50.61666666666667,-105.51666666666667,-1
"Nashville, Tenn.",36,10,86,47,11:00 a.m.,36.166666666666664,-86.78333333333333,-1
"Nelson, B.C., Can.",49,30,117,17,9:00 a.m.,49.5,-117.28333333333333,-3
"Newark, N.J.",40,44,74,10,12:00 noon,40.733333333333334,-74.16666666666667,-5
"New Haven, Conn.",41,19,72,55,12:00 noon,41.31666666666667,-72.91666666666667,-5
"New Orleans, La.",29,57,90,4,11:00 a.m.,29.95,-90.06666666666666,-1
"New York, N.Y.",40,47,73,58,12:00 noon,40.78333333333333,-73.96666666666667,-5
"Nome, Alaska",64,25,165,30,8:00 a.m.,64.41666666666667,-165.5,-4
"Oakland, Calif.",37,48,122,16,9:00 a.m.,37.8,-122.26666666666667,-3
"Oklahoma City, Okla.",35,26,97,28,11:00 a.m.,35.43333333333333,-97.46666666666667,-1
"Omaha, Neb.",41,15,95,56,11:00 a.m.,41.25,-95.93333333333334,-1
"Ottawa, Ont., Can.",45,24,75,43,12:00 noon,45.4,-75.71666666666667,-5
"Philadelphia, Pa.",39,57,75,10,12:00 noon,39.95,-75.16666666666667,-5
"Phoenix, Ariz.",33,29,112,4,10:00 a.m.,33.483333333333334,-112.06666666666666,-2
"Pierre, S.D.",44,22,100,21,11:00 a.m.,44.36666666666667,-100.35,-1
"Pittsburgh, Pa.",40,27,79,57,12:00 noon,40.45,-79.95,-5
"Portland, Maine",43,40,70,15,12:00 noon,43.666666666666664,-70.25,-5
"Portland, Ore.",45,31,122,41,9:00 a.m.,45.516666666666666,-122.68333333333334,-3
"Providence, R.I.",41,50,71,24,12:00 noon,41.833333333333336,-71.4,-5
"Quebec, Que., Can.",46,49,71,11,12:00 noon,46.81666666666667,-71.18333333333334,-5
"Raleigh, N.C.",35,46,78,39,12:00 noon,35.766666666666666,-78.65,-5
"Reno, Nev.",39,30,119,49,9:00 a.m.,39.5,-119.81666666666666,-3
"Richfield, Utah",38,46,112,5,10:00 a.m.,38.766666666666666,-112.08333333333333,-2
"Richmond, Va.",37,33,77,29,12:00 noon,37.55,-77.48333333333333,-5
"Roanoke, Va.",37,17,79,57,12:00 noon,37.28333333333333,-79.95,-5
"Sacramento, Calif.",38,35,121,30,9:00 a.m.,38.583333333333336,-121.5,-3
"St. John, N.B., Can.",45,18,66,10,1:00 p.m.,45.3,-66.16666666666667,-11
"St. Louis, Mo.",38,35,90,12,11:00 a.m.,38.583333333333336,-90.2,-1
"Salt Lake City, Utah",40,46,111,54,10:00 a.m.,40.766666666666666,-111.9,-2
"San Antonio, Tex.",29,23,98,33,11:00 a.m.,29.383333333333333,-98.55,-1
"San Diego, Calif.",32,42,117,10,9:00 a.m.,32.7,-117.16666666666667,-3
"San Francisco, Calif.",37,47,122,26,9:00 a.m.,37.78333333333333,-122.43333333333334,-3
"San Jose, Calif.",37,20,121,53,9:00 a.m.,37.333333333333336,-121.88333333333334,-3
"San Juan, P.R.",18,30,66,10,1:00 p.m.,18.5,-66.16666666666667,-11
"Santa Fe, N.M.",35,41,105,57,10:00 a.m.,35.68333333333333,-105.95,-2
"Savannah, Ga.",32,5,81,5,12:00 noon,32.083333333333336,-81.08333333333333,-5
"Seattle, Wash.",47,37,122,20,9:00 a.m.,47.61666666666667,-122.33333333333333,-3
"Shreveport, La.",32,28,93,42,11:00 a.m.,32.46666666666667,-93.7,-1
"Sioux Falls, S.D.",43,33,96,44,11:00 a.m.,43.55,-96.73333333333333,-1
"Sitka, Alaska",57,10,135,15,8:00 a.m.,57.166666666666664,-135.25,-4
"Spokane, Wash.",47,40,117,26,9:00 a.m.,47.666666666666664,-117.43333333333334,-3
"Springfield, Ill.",39,48,89,38,11:00 a.m.,39.8,-89.63333333333334,-1
"Springfield, Mass.",42,6,72,34,12:00 noon,42.1,-72.56666666666666,-5
"Springfield, Mo.",37,13,93,17,11:00 a.m.,37.21666666666667,-93.28333333333333,-1
"Syracuse, N.Y.",43,2,76,8,12:00 noon,43.03333333333333,-76.13333333333334,-5
"Tampa, Fla.",27,57,82,27,12:00 noon,27.95,-82.45,-5
"Toledo, Ohio",41,39,83,33,12:00 noon,41.65,-83.55,-5
"Toronto, Ont., Can.",43,40,79,24,12:00 noon,43.666666666666664,-79.4,-5
"Tulsa, Okla.",36,9,95,59,11:00 a.m.,36.15,-95.98333333333333,-1
"Vancouver, B.C., Can.",49,13,123,6,9:00 a.m.,49.21666666666667,-123.1,-3
"Victoria, B.C., Can.",48,25,123,21,9:00 a.m.,48.416666666666664,-123.35,-3
"Virginia Beach, Va.",36,51,75,58,12:00 noon,36.85,-75.96666666666667,-5
"Washington, D.C.",38,53,77,2,12:00 noon,38.88333333333333,-77.03333333333333,-5
"Wichita, Kan.",37,43,97,17,11:00 a.m.,37.71666666666667,-97.28333333333333,-1
"Wilmington, N.C.",34,14,77,57,12:00 noon,34.233333333333334,-77.95,-5
"Winnipeg, Man., Can.",49,54,97,7,11:00 a.m.,49.9,-97.11666666666666,-1
